sample_date,measurement_date,plot,subplot,depth_top,depth_bottom,Depth,texture,texture_code,Tin Name ,Wet Weight (g),Dry Weight (g),Tin Weight (g),Wet-Tin wt (g),Dry-Tin wt (g),% soil moisture,eC_(uS/cm),notes
2026-01-16,2026-01-21,West Plot ,1,0,15,0-15,silty clay ,SIC,"WP-1, 0-15",93.35,77.648,6.451,86.899,71.197,18.07,360,"Calibration solution looks like it is expired, may have affected calibration of EC probe..."
2026-01-16,2026-01-21,West Plot ,1,15,30,15-30,silty clay ,SIC,"WP-1, 15-30",74.06,60.399,6.419,67.641,53.98,20.196,409,"Calibration solution looks like it is expired, may have affected calibration of EC probe..."
2026-01-16,2026-01-21,West Plot ,1,30,45,30-45,sandy clay ,SC,"WP-1, 30-45",77.933,66.867,6.419,71.514,60.448,18.307,284,"Calibration solution looks like it is expired, may have affected calibration of EC probe..."
2026-01-16,2026-01-21,West Plot ,1,45,60,45-60,clay ,C,"WP-1, 45-60",82.418,70.055,6.414,76.004,63.641,16.266,674,"Calibration solution looks like it is expired, may have affected calibration of EC probe..."
2026-01-16,2026-01-21,West Plot ,1,60,75,60-75,silty clay ,SIC,"WP-1, 60-75",90.829,79.18,6.432,84.397,72.748,13.803,1623,"Calibration solution looks like it is expired, may have affected calibration of EC probe..."
2026-01-16,2026-01-21,West Plot ,1,75,90,75-90,clay ,C,"WP-1, 75-90",93.423,81.904,6.446,86.977,75.458,13.244,2590,"Calibration solution looks like it is expired, may have affected calibration of EC probe..."
2026-01-28,2026-02-03,West Plot ,2,0,15,0-15,silty clay ,SIC,"WP-2, 0-15",75.62,63.555,6.424,69.196,57.131,21.118,427,"Calibration solution looks like it is expired, may have affected calibration of EC probe..."
2026-01-28,2026-02-03,West Plot ,2,15,30,15-30,sandy clay loam,SICL,"WP-2, 15-30",79.002,66.165,6.46,72.542,59.705,21.501,484,Primary calibration level for W P2-4 was 1473uS/cm and 1413uS/cm calibration solution was used
2026-01-28,2026-02-03,West Plot ,2,30,45,30-45,silty clay ,SIC,"WP-2, 30-45",70.184,60.747,6.443,63.741,54.304,17.378,1457,
2026-01-28,2026-02-03,West Plot ,2,45,60,45-60,silty clay,SIC,"WP-2, 45-60",59.427,52.018,6.412,53.015,45.606,16.246,2950,
2026-01-28,2026-02-03,West Plot ,2,60,75,60-75,silty clay ,SIC,"WP-2, 60-75",80.214,65.784,6.482,73.732,59.302,24.333,3260,
2026-01-28,2026-02-03,West Plot ,2,75,90,75-90,silty clay ,SIC,"WP-2, 75-90",58.164,49.443,6.352,51.812,43.091,20.239,2680,
2026-01-28,2026-02-03,West Plot ,3,0,15,0-15,,,"WP-3, 0-15",59.367,50.119,6.4,52.967,43.719,21.153,267,
2026-01-28,2026-02-03,West Plot ,3,15,30,15-30,,,"WP-3, 15-30",67.062,56.593,6.501,60.561,50.092,20.9,251,
2026-01-28,2026-02-03,West Plot ,3,30,45,30-45,,,"WP-3, 30-45",69.958,59.505,6.432,63.526,53.073,16.696,409,
2026-01-28,2026-02-03,West Plot ,3,45,60,45-60,,,"WP-3, 45-60",74.565,64.209,6.459,68.106,57.75,17.932,452,
